Last_Name,First_Name,Student_Type,Hall,Room,Room_Type,Citizenship_DESC,DOB,Email
Hardy,Rosalinda,Ent First Year,Togepi House,508,Quadruple,Domestic,6/15/1994,rhardy@pokeacademy.edu
Pierce,Christa,Ent First Year,Squirtle House,209,Single,Domestic,8/10/2001,cpierce@pokeacademy.edu
Patrick,Heriberto,Ent First Year,Ho-Oh House,306,Quadruple,Domestic,3/6/1993,hpatrick@pokeacademy.edu
Mason,Stefan,Ent First Year,Umbreon House,212,Triple,Domestic,6/9/1994,smason@pokeacademy.edu
Booth,Mike,Ent First Year,Gengar House,302,Triple,Domestic,10/30/2003,mbooth@pokeacademy.edu
Mitchell,Janice,Ent First Year,Bayleef House,212,Single,Domestic,11/20/2006,jmitchell@pokeacademy.edu
Boone,Quinten,Ent First Year,Moltres House,405,Single,Domestic,11/17/2004,qboone@pokeacademy.edu
Ibarra,Lillie,Ent Transfer,Ditto House,103,Triple,International,3/23/2000,libarra@pokeacademy.edu
Maxwell,Elyssa,Ent First Year,Gengar House,310,Single,Domestic,3/10/2004,emaxwell@pokeacademy.edu
Silva,Elizabeth,Ent First Year,Ivysaur House,407,Triple,Domestic,4/20/2005,esilva@pokeacademy.edu
Harris,Justin,Ent First Year,Caterpie House,411,Single,Domestic,11/22/1991,jharris@pokeacademy.edu
Boyer,Mckenna,Ent First Year,Cubone House,313,Triple,Domestic,10/12/1999,mboyer@pokeacademy.edu
Luna,Jordyn,Ent First Year,Ivysaur House,301,Quadruple,Domestic,2/18/1999,jluna@pokeacademy.edu
Finley,Janelle,Ent First Year,Mudkip House,104,Triple,Domestic,2/16/1996,jfinley@pokeacademy.edu
Lowe,Iliana,Ent First Year,Sylveon House,202,Quadruple,Domestic,4/24/1996,ilowe@pokeacademy.edu
Graves,Gabriel,Ent Transfer,Piplup House,101,Single,Domestic,2/24/2004,ggraves@pokeacademy.edu
Hutchinson,Dashawn,Ent First Year,Bayleef House,415,Single,Domestic,5/3/1998,dhutchinson@pokeacademy.edu
Gallegos,Ernest,Ent Transfer,Torterra House,212,Triple,International,11/3/2006,egallegos@pokeacademy.edu
Burnett,Laurel,Ent First Year,Pidgey House,510,Quadruple,Domestic,12/25/1995,lburnett@pokeacademy.edu
Hendricks,Jesse,Ent Transfer,Leafeon House,109,Triple,Domestic,6/25/1991,jhendricks@pokeacademy.edu
Krause,Daisy,Ent Transfer,Zapdos House,308,Single,International,6/25/1992,dkrause@pokeacademy.edu
Gates,Kiersten,Ent Transfer,Pidgey House,413,Quadruple,International,11/23/1993,kgates@pokeacademy.edu
Carroll,Samir,Ent First Year,Oddish House,211,Single,Domestic,3/30/1996,scarroll@pokeacademy.edu
Day,Jaiden,Ent First Year,Cubone House,509,Double,Domestic,5/19/1991,jday@pokeacademy.edu
Woodard,Braeden,Ent First Year,Raichu House,407,Single,Domestic,8/6/1994,bwoodard@pokeacademy.edu
Barrera,Kristin,Ent First Year,Zapdos House,311,Triple,International,8/14/1997,kbarrera@pokeacademy.edu
Mitchell,Destany,Ent First Year,Piplup House,504,Quadruple,Domestic,7/25/1994,dmitchell@pokeacademy.edu
Pollard,Candice,Ent First Year,Togepi House,508,Triple,International,6/27/2001,cpollard@pokeacademy.edu
Buchanan,Luis,Ent First Year,Umbreon House,308,Triple,Domestic,9/26/2006,lbuchanan@pokeacademy.edu
Mccormick,Kathy,Ent First Year,Ho-Oh House,211,Single,Domestic,2/11/1991,kmccormick@pokeacademy.edu
Luna,Fabian,Ent First Year,Caterpie House,502,Single,International,9/11/1991,fluna@pokeacademy.edu
Chen,Marcelo,Ent First Year,Ivysaur House,106,Double,Domestic,9/1/2006,mchen@pokeacademy.edu
Swanson,Abigale,Ent First Year,Luxio House,508,Quadruple,Domestic,11/29/1995,aswanson@pokeacademy.edu
Cain,Daisy,Ent First Year,Bayleef House,103,Quadruple,Domestic,9/24/2005,dcain@pokeacademy.edu
Avery,Armando,Ent First Year,Pidgey House,414,Triple,Domestic,12/16/1997,aavery@pokeacademy.edu
Marshall,Erik,Ent First Year,Caterpie House,306,Quadruple,International,3/11/2003,emarshall@pokeacademy.edu
Lester,Hayden,Ent Transfer,Wailord House,304,Single,International,12/21/2005,hlester@pokeacademy.edu
Rodgers,Raven,Ent First Year,Torterra House,313,Quadruple,Domestic,3/24/2006,rrodgers@pokeacademy.edu
Morrison,Keven,Ent First Year,Luxio House,407,Single,Domestic,3/18/1992,kmorrison@pokeacademy.edu
Mueller,Amaya,Ent First Year,Ho-Oh House,211,Triple,Domestic,10/29/2004,amueller@pokeacademy.edu
Mahoney,Kinsey,Ent First Year,Mew House,508,Single,Domestic,9/14/2001,kmahoney@pokeacademy.edu
Joseph,Diana,Ent First Year,Articuno House,412,Quadruple,Domestic,6/5/1996,djoseph@pokeacademy.edu
Woodward,Gloria,Ent First Year,Bulbasaur House,501,Single,Domestic,5/13/2000,gwoodward@pokeacademy.edu
Crane,Isiah,Ent First Year,Mew House,209,Triple,Domestic,11/7/1997,icrane@pokeacademy.edu
Liu,Brianna,Ent First Year,Wailord House,310,Single,International,9/26/1994,bliu@pokeacademy.edu
Torres,Reagan,Ent First Year,Bulbasaur House,412,Quadruple,Domestic,12/7/1999,rtorres@pokeacademy.edu
Foley,Christian,Ent First Year,Togepi House,102,Single,Domestic,12/31/2002,cfoley@pokeacademy.edu
